Type,Csid,Cgrid,Cap_kW,waitingLine,Vol_0min,Vol_30min,Vol_60min,ElapsedTime
F,90000200,0,0,0,0,0,0,2760
F,90000201,1,0,0,0,0,0,2760
F,90000400,0,0,0,0,0,0,2760
F,90000401,1,0,0,0,0,0,2760
F,90000800,0,0,0,0,0,0,2760
F,90001000,0,0,0,0,0,0,2760
F,90001200,0,0,0,0,0,0,2760
F,90001201,1,0,0,0,0,0,2760
F,90001600,0,0,0,0,0,0,2760
F,90000000,0,0,0,0,0,0,2820
F,90000001,1,0,0,0,0,0,2820
F,90000200,0,0,0,0,0,0,2820
F,90000201,1,0,0,0,0,0,2820
F,90000400,0,0,0,0,0,0,2820
F,90000401,1,0,0,0,0,0,2820
F,90000800,0,0,0,0,0,0,2820
F,90001000,0,0,0,0,0,0,2820
F,90001200,0,0,0,0,0,0,2820
F,90001201,1,0,0,0,0,0,2820
F,90001600,0,0,0,0,0,0,2820
F,90000000,0,0,0,0,0,0,2880
F,90000001,1,0,0,0,0,0,2880
F,90000200,0,0,0,0,0,0,2880
F,90000201,1,0,0,0,0,0,2880
F,90000400,0,0,0,0,0,0,2880
F,90000401,1,0,0,0,0,0,2880
F,90000800,0,0,0,0,0,0,2880
F,90001000,0,0,0,0,0,0,2880
F,90001200,0,0,0,0,0,0,2880
F,90001201,1,0,0,0,0,0,2880
F,90001600,0,0,0,0,0,0,2880
F,90000000,0,0,0,0,0,0,2940
F,90000001,1,0,0,0,0,0,2940
F,90000200,0,0,0,0,0,0,2940
F,90000201,1,0,0,0,0,0,2940
F,90000400,0,0,0,0,0,0,2940
F,90000401,1,0,0,0,0,0,2940
F,90000800,0,0,0,0,0,0,2940
F,90001000,0,0,0,0,0,0,2940
F,90001200,0,0,0,0,0,0,2940
F,90001201,1,0,0,0,0,0,2940
F,90001600,0,0,0,0,0,0,2940
F,90000000,0,0,0,0,0,0,3000
F,90000001,1,0,0,0,0,0,3000
F,90000200,0,0,0,0,0,0,3000
F,90000201,1,0,0,0,0,0,3000
F,90000400,0,0,0,0,0,0,3000
F,90000401,1,0,0,0,0,0,3000
F,90000800,0,0,0,0,0,0,3000
F,90001000,0,0,0,0,0,0,3000
F,90001200,0,0,0,0,0,0,3000
